model,val_loss,train_loss,best_val_loss,best_train_loss,epochs,sensors_num,datetime
dummy_model,0.045832290918938104,0.045832290918938104,0.045832290918938104,0.045832290918938104,30,2016,"05/14/2025, 02:43:43"
dummy_model_Fourier,0.04583229091893812,0.04583229091893812,0.04583229091893812,0.04583229091893812,30,2016,"05/14/2025, 02:43:47"
baseline_unet,0.0246544300799111,0.024468557959930463,0.024242667683498247,0.024306309284750097,30,2016,"05/14/2025, 02:47:40"
baseline_unet+dist to impact,0.024821212637777392,0.0245358275726807,0.0239877687816165,0.024467948057557927,30,2016,"05/14/2025, 02:56:44"
SimpleModel+dist to impact,0.027043622121901104,0.02704009106613634,0.026842341758310795,0.02699162313052692,30,2016,"05/14/2025, 03:06:13"
CNN_LSTM,0.027983729678549264,0.02705053997126,0.02736355527304113,0.02684525700270637,30,2016,"05/14/2025, 03:16:53"
GNN_Z,0.024494881555438042,0.039251121195654076,0.019295573234558105,0.03015119582414627,30,2016,"05/14/2025, 03:20:14"
ModUnet,0.019860281909227763,0.022310915330717385,0.018911229458784585,0.02213560850321015,30,2016,"05/14/2025, 03:29:46"
CoordsModUnet,0.021397735347579185,0.02314339507186462,0.01918999838495725,0.022765297414965868,30,2016,"05/14/2025, 03:53:46"
